"","carat","cut","color","clarity","depth","table","price","x","y","z"
"19975",1.2,"Good","D","VS2",62.4,60,8521,6.69,6.77,4.2
"30671",0.4,"Very Good","F","SI1",62,56,737,4.72,4.77,2.94
"47199",0.5,"Premium","G","VVS2",60.9,59,1838,5.09,5.12,3.11
"21798",1.02,"Ideal","F","VVS2",60.9,56,9870,6.54,6.49,3.97
"29851",0.3,"Premium","D","VS2",60.7,60,710,4.33,4.37,2.64
"51787",0.7,"Premium","F","SI1",60.8,58,2415,5.78,5.74,3.5
"15003",1,"Ideal","E","VS2",62,55,6043,6.42,6.38,3.97
"51639",0.31,"Ideal","G","VS2",61.6,54,544,4.39,4.41,2.71
"938",0.77,"Ideal","D","SI2",61.5,55,2885,5.9,5.93,3.64
"14437",1.01,"Good","E","VS2",65.6,55,5829,6.16,6.22,4.06
"39755",0.56,"Ideal","J","VS2",61.7,54,1094,5.31,5.36,3.29
"23320",1.72,"Premium","I","VS2",58.3,61,11360,7.91,7.87,4.6
"9352",1.13,"Ideal","H","SI2",62.5,57,4584,6.67,6.71,4.18
"9022",1,"Premium","H","VS2",58.4,60,4514,6.36,6.3,3.7
"52346",0.79,"Premium","H","SI1",60.1,60,2498,6.04,5.98,3.61
"37422",0.33,"Ideal","E","VVS1",61.5,57,984,4.44,4.47,2.74
"4098",0.84,"Very Good","G","VS2",62,56,3535,6.07,6.09,3.77
"53701",0.7,"Ideal","F","VS2",61.3,56,2717,5.74,5.71,3.51
"33323",0.35,"Premium","D","SI1",60.9,58,827,4.55,4.52,2.76
"15183",1,"Very Good","F","VS1",58.1,62,6098,6.57,6.62,3.83
"45089",0.5,"Ideal","D","VS2",60.1,59,1646,5.14,5.17,3.1
"12992",1.02,"Very Good","F","SI1",63.2,59,5398,6.38,6.35,4.02
"30037",0.39,"Very Good","J","VVS1",62.5,58,718,4.61,4.67,2.9
"53229",0.71,"Good","D","SI1",64,56,2641,5.59,5.63,3.59
"5300",1.01,"Fair","E","SI2",60,60,3801,6.48,6.38,3.86
"41567",0.5,"Premium","E","SI1",61.4,62,1238,5.1,5.07,3.12
"21364",0.3,"Very Good","H","VVS1",62.3,56,626,4.26,4.31,2.67
"6694",0.31,"Premium","G","SI2",61.3,58,408,4.37,4.4,2.69
"29979",0.38,"Very Good","G","VS2",59.7,62,715,4.66,4.68,2.79
"30308",0.44,"Ideal","J","VVS2",62.1,55,726,4.88,4.91,3.04
"2200",0.54,"Ideal","D","VVS1",61.4,58,3139,5.28,5.25,3.23
"9642",1.1,"Very Good","I","SI1",61.2,61,4640,6.61,6.66,4.01
"29442",0.38,"Very Good","E","SI1",62.8,58,701,4.6,4.63,2.9
"14764",1.23,"Good","I","VS1",63.6,59,5940,6.85,6.76,4.33
"12075",1.62,"Premium","J","SI2",61.8,59,5157,7.48,7.44,4.61
"3757",0.9,"Ideal","I","SI1",62.3,57,3455,6.12,6.15,3.82
"2753",0.9,"Good","H","SI2",63.6,60,3250,6.06,6.11,3.87
"8877",1.04,"Ideal","H","SI2",62.1,56,4484,6.5,6.48,4.03
"37458",0.42,"Premium","H","VVS2",62.4,55,984,4.81,4.78,2.99
"6163",1.01,"Fair","E","SI2",56.8,66,3991,6.63,6.58,3.75
"20289",1.51,"Good","D","SI2",64.1,61,8706,7.18,7.14,4.59
"804",0.91,"Good","I","VS2",64.3,58,2863,6.05,6.09,3.9
"19564",1.52,"Very Good","F","SI2",62.3,59,8192,7.33,7.37,4.58
"35046",0.42,"Ideal","I","VVS1",60.2,57,884,4.85,4.88,2.93
"22690",0.3,"Very Good","G","VS1",62.5,59,629,4.32,4.25,2.68
"11028",1.02,"Ideal","H","SI2",62.5,53,4918,6.43,6.47,4.03
"51691",0.62,"Premium","G","VVS2",59.2,59,2399,5.58,5.56,3.3
"16633",1.12,"Ideal","G","VS2",62,56,6652,6.64,6.69,4.13
"23510",1.7,"Premium","I","VS2",61.4,59,11519,7.6,7.68,4.69
"693",0.91,"Very Good","I","SI1",63.5,57,2852,6.12,6.07,3.87
"40560",0.41,"Very Good","G","VVS1",60.3,60,1151,4.74,4.78,2.87
"42290",0.32,"Premium","H","VS2",61.9,58,505,4.37,4.39,2.71
"18660",1.31,"Premium","F","SI1",62.6,58,7625,6.98,7.02,4.38
"3550",1.07,"Ideal","H","SI1",61.5,54,3415,6.64,6.6,4.07
"16330",1.01,"Very Good","F","VS2",63.3,57,6533,6.41,6.33,4.03
"43455",0.5,"Premium","G","VS2",61.5,57,1415,5.12,5.09,3.14
"26281",2.11,"Ideal","J","VS1",61.8,56.2,15766,8.2,8.23,5.07
"25693",0.32,"Very Good","D","SI1",60,56,644,4.5,4.53,2.71
"32863",0.38,"Ideal","D","VS2",60.7,56,808,4.69,4.74,2.86
"23023",0.35,"Premium","I","VS2",61.2,58,630,4.57,4.55,2.79
"12002",1.01,"Premium","H","VS1",61.6,57,5147,6.47,6.38,3.96
"41986",0.51,"Premium","D","SI2",62,58,1264,5.08,5.12,3.16
"7662",1.01,"Very Good","F","SI2",63.4,54,4270,6.42,6.39,4.06
"52268",0.76,"Premium","F","SI2",60.5,60,2491,5.92,5.89,3.57
"50068",0.7,"Ideal","H","SI2",61.6,56,2202,5.69,5.71,3.51
"26594",1.74,"Ideal","G","VS2",61.7,56,16316,7.72,7.68,4.75
"3123",0.78,"Ideal","G","VS2",62.6,57,3325,5.87,5.91,3.69
"49747",0.73,"Ideal","E","SI2",62.1,57,2155,5.75,5.71,3.56
"419",0.3,"Ideal","G","VS2",62,56,556,4.28,4.3,2.66
"49148",0.72,"Good","I","VS2",63.3,59,2068,5.62,5.66,3.57
"33464",0.32,"Ideal","F","VS2",61.1,57,828,4.47,4.44,2.72
"9099",1.01,"Very Good","I","SI1",63.2,54,4525,6.41,6.35,4.03
"1281",0.72,"Very Good","D","VS1",62.7,58,2951,5.65,5.68,3.55
"27296",1.71,"Premium","F","VS2",61.4,60,17766,7.72,7.62,4.71
"26283",2.14,"Very Good","I","SI1",61.3,61,15769,8.28,8.32,5.09
"27756",0.32,"Premium","I","VS1",61.9,58,648,4.4,4.36,2.71
"33072",0.32,"Ideal","H","IF",61.4,55,814,4.42,4.47,2.73
"25185",2.18,"Ideal","I","VS2",62,57,13769,8.35,8.24,5.14
"3121",0.7,"Ideal","H","VVS2",61,56,3325,5.75,5.78,3.52
"53441",0.81,"Ideal","E","SI2",61.4,57,2673,6,5.97,3.68
"21761",1.5,"Very Good","I","VVS2",63.3,58,9828,7.24,7.21,4.57
"39773",0.5,"Very Good","F","SI2",63.5,58,1094,5.03,4.98,3.18
"14814",1.22,"Very Good","I","VS1",61.6,60,5966,6.86,6.8,4.21
"42097",0.44,"Ideal","E","VVS2",61.9,56,1274,4.88,4.91,3.03
"11094",1.03,"Ideal","G","SI1",61.9,56,4928,6.46,6.5,4.01
"2454",0.74,"Ideal","E","VS2",59.5,57,3189,5.92,5.94,3.53
"6847",1.08,"Premium","G","SI2",63,54,4124,6.58,6.54,4.13
"4314",1.07,"Ideal","G","SI2",60.8,57,3595,6.62,6.6,4.02
"34846",0.3,"Ideal","G","VVS2",61.5,55,878,4.32,4.3,2.65
"13840",1.23,"Premium","F","SI1",62.5,58,5641,6.83,6.76,4.25
"5281",0.82,"Ideal","F","VS2",61.5,57,3798,6.01,6.05,3.71
"22432",2.1,"Ideal","I","SI2",63,56,10457,8.18,8.15,5.12
"17709",0.31,"Very Good","I","VVS1",57.7,62,613,4.51,4.53,2.61
"18489",1.01,"Very Good","G","VVS2",63,61,7528,6.34,6.36,4
"20347",1.14,"Ideal","G","VVS2",62.3,55,8743,6.64,6.72,4.18
"12170",1.12,"Premium","G","SI1",59.5,62,5181,6.81,6.76,4.04
"20064",0.31,"Ideal","F","VS2",62.1,53,625,4.34,4.39,2.71
"20257",1.52,"Ideal","J","VS1",62.8,54.3,8687,7.32,7.35,4.61
"45426",0.51,"Fair","D","VS2",64.4,54,1668,5.06,5.03,3.25
"8057",0.23,"Very Good","F","VVS1",62.8,54,583,3.92,3.94,2.47
"19548",1.02,"Premium","D","VS1",60.3,58,8181,6.57,6.49,3.94
"10259",1.01,"Fair","H","VS2",64.5,60,4751,6.3,6.25,4.05
"9339",0.94,"Premium","E","SI1",60,58,4580,6.44,6.37,3.84
"35549",0.35,"Ideal","H","VVS2",63,55,906,4.5,4.48,2.83
"29116",0.34,"Premium","H","VS2",61.9,60,689,4.46,4.42,2.75
"21855",1.24,"Premium","D","VS2",59.3,58,9916,7.09,7.03,4.19
"2932",0.71,"Ideal","H","IF",61.1,56,3290,5.74,5.78,3.52
"52858",0.72,"Very Good","E","SI1",62.1,57,2578,5.69,5.75,3.55
"2076",0.77,"Ideal","F","SI1",61.5,56,3108,5.89,5.95,3.64
"48280",0.53,"Ideal","D","VS2",61.5,56,1956,5.23,5.17,3.2
"16449",1.02,"Very Good","G","VS2",61.9,54,6569,6.45,6.48,4
"37137",0.33,"Ideal","F","IF",62.2,53,971,4.47,4.5,2.79
"51107",0.73,"Very Good","H","VS2",63.1,57.3,2337,5.65,5.7,3.59
"28719",0.31,"Very Good","E","VS2",62.9,56,680,4.29,4.33,2.71
"19647",1.52,"Premium","J","VS1",62.4,59,8258,7.36,7.31,4.58
"11704",0.34,"Premium","H","VS1",61.6,59,596,4.49,4.54,2.78
"53489",0.53,"Ideal","F","IF",61.3,57,2682,5.21,5.19,3.19
"51682",0.72,"Good","H","SI1",63.7,59,2398,5.68,5.63,3.6
"38414",0.35,"Premium","E","VVS2",60.2,58,1024,4.66,4.61,2.79
"50057",0.83,"Ideal","I","VS2",62.9,56,2201,5.98,5.94,3.75
"13655",1.27,"Good","J","VS1",63.4,60,5588,6.8,6.85,4.33
"1600",1.2,"Fair","I","I1",66.2,55,3011,6.61,6.51,4.34
"53575",0.63,"Ideal","E","VVS2",61.6,57,2697,5.52,5.49,3.39
"53890",0.8,"Ideal","G","SI2",62.2,56,2749,5.95,5.91,3.69
"17542",1.01,"Ideal","G","VS1",59.1,55,7059,6.6,6.53,3.88
"39791",0.32,"Ideal","E","IF",61.9,56,1095,4.4,4.42,2.73
"46380",0.55,"Ideal","G","VS1",61.5,57,1763,5.23,5.28,3.23
"9581",1.08,"Premium","G","SI2",62.9,59,4627,6.57,6.53,4.12
"50982",0.31,"Good","E","SI1",63.1,54,544,4.31,4.34,2.73
"16302",1.01,"Very Good","E","VS2",63.3,56,6522,6.34,6.37,4.02
"28936",0.3,"Premium","G","VVS2",62.2,59,684,4.28,4.31,2.67
"25707",0.35,"Very Good","D","SI1",60.1,61,644,4.56,4.59,2.75
"44735",0.57,"Very Good","G","VS2",63,58,1617,5.24,5.27,3.31
"24421",1.58,"Ideal","F","SI1",61.6,55,12671,7.52,7.57,4.65
"48002",0.52,"Ideal","D","VS2",61.3,56,1919,5.2,5.15,3.17
"2285",0.9,"Good","H","SI2",63.4,60,3160,6.03,6.08,3.84
"11269",1.01,"Very Good","F","SI1",60.3,60,4972,6.46,6.55,3.92
"29512",0.4,"Very Good","G","SI1",61.6,59,702,4.66,4.72,2.89
"49377",0.7,"Premium","G","SI2",61.3,58,2100,5.75,5.67,3.5
"47029",0.54,"Ideal","F","VS1",62.5,56,1819,5.18,5.22,3.25
"52082",0.72,"Ideal","F","SI2",61.8,57,2456,5.75,5.78,3.56
"36626",0.24,"Very Good","E","VVS2",60.6,62,478,4.03,4.06,2.45
"38677",0.3,"Ideal","D","VVS2",61.4,55,1041,4.34,4.36,2.67
"45699",0.59,"Ideal","I","VVS1",61.6,55,1698,5.4,5.45,3.34
"27712",0.36,"Premium","I","VS2",62.7,59,648,4.58,4.54,2.86
"34319",0.46,"Very Good","F","SI2",61.6,55,859,4.98,5.02,3.08
"49871",0.53,"Ideal","F","VVS2",62.2,54,2175,5.19,5.22,3.24
"32237",0.31,"Ideal","G","VVS1",61,56,789,4.36,4.4,2.67
"7800",1.12,"Ideal","H","SI1",62.7,56,4290,6.66,6.61,4.16
"19346",1.7,"Premium","I","SI1",61.6,56,8044,7.65,7.55,4.68
"26141",1.51,"Very Good","F","VS1",61.7,59,15440,7.29,7.33,4.51
"49811",0.5,"Ideal","F","VVS1",61,57,2165,5.13,5.16,3.14
"8198",1.2,"Fair","H","SI2",64.8,58,4368,6.61,6.56,4.27
"17243",1,"Premium","F","VS2",60.7,58,6899,6.45,6.36,3.89
"15075",1.03,"Ideal","F","SI1",61.3,56,6059,6.51,6.55,4
"37770",0.41,"Premium","E","VS2",62.1,58,999,4.78,4.75,2.96
"40751",0.4,"Ideal","F","VVS2",61.7,56,1163,4.74,4.72,2.92
"20117",1.29,"Ideal","G","VS2",62.5,57,8582,6.89,6.92,4.35
"35738",0.3,"Ideal","D","VS2",62.6,56,911,4.31,4.28,2.69
"45516",0.58,"Ideal","E","VS2",62.3,54,1683,5.39,5.43,3.37
"946",0.72,"Very Good","G","VVS2",62.5,58,2889,5.68,5.72,3.56
"4648",0.9,"Good","I","IF",63.7,64,3669,6.07,6.02,3.85
"11211",1.15,"Premium","I","SI1",59.6,58,4959,6.86,6.82,4.08
"18912",1.2,"Ideal","D","SI1",62.7,55,7761,6.71,6.79,4.23
"42859",0.53,"Premium","H","VS2",59.1,59,1356,5.33,5.26,3.13
"30898",0.41,"Ideal","D","SI1",61.9,55,744,4.77,4.8,2.96
"8178",1.04,"Very Good","F","SI2",62.4,54,4364,6.46,6.53,4.05
"147",0.71,"Very Good","G","VS1",63.3,59,2768,5.52,5.61,3.52
"29589",0.45,"Ideal","D","SI2",62,55,706,4.92,4.95,3.06
"39892",0.42,"Premium","F","VS1",61.8,59,1103,4.83,4.81,2.98
"37947",0.32,"Very Good","E","SI1",62,60,486,4.38,4.43,2.73
"18200",1.46,"Very Good","I","SI1",62.8,57,7387,7.13,7.21,4.5
"10191",0.95,"Very Good","E","SI1",61.6,56,4738,6.31,6.36,3.9
"46824",0.96,"Fair","H","I1",67.4,62,1808,6.13,5.96,4.08
"26268",1.68,"Ideal","G","VS2",62.5,54,15740,7.61,7.64,4.76
"30323",0.36,"Premium","G","VS1",59.7,59,726,4.61,4.64,2.76
"26046",1.36,"Ideal","F","VVS1",61.3,57,15247,7.13,7.23,4.4
"10859",1.03,"Premium","H","VS1",59.2,58,4874,6.66,6.61,3.92
"26287",1.51,"Ideal","D","VS2",60.9,57,15776,7.42,7.45,4.53
"21666",1.5,"Ideal","I","VS2",62.6,57,9761,7.31,7.26,4.56
"50735",0.75,"Premium","H","SI2",63,58,2295,5.79,5.76,3.64
"6774",0.91,"Ideal","H","VS1",62.9,55,4109,6.23,6.13,3.89
"43511",0.52,"Very Good","G","VS2",62.6,58,1423,5.08,5.11,3.19
"39093",0.41,"Premium","I","VVS2",59.9,58,1061,4.87,4.81,2.9
"1604",0.7,"Ideal","F","VS2",62.7,55,3011,5.66,5.69,3.56
"39397",0.41,"Ideal","G","VVS2",61.3,56,1076,4.79,4.77,2.93
"32577",0.41,"Very Good","F","SI1",62.4,60,801,4.73,4.75,2.96
"22914",1.54,"Fair","F","SI1",65.8,56,10954,7.22,7.18,4.74
"49606",0.7,"Good","G","SI1",64.6,59,2137,5.49,5.54,3.56
"11395",0.3,"Very Good","I","VVS2",63,57,596,4.24,4.27,2.68
"35560",0.35,"Premium","G","VS1",62.3,59,906,4.53,4.49,2.81
"30313",0.4,"Ideal","D","SI1",61.3,56,726,4.75,4.78,2.92
"11975",1.5,"Very Good","J","I1",63.3,58,5141,7.27,7.23,4.59
"48032",0.5,"Very Good","H","IF",61.4,61,1923,5.14,5.03,3.12
"18570",1.02,"Ideal","G","VS1",62.8,55,7574,6.45,6.41,4.04
"43917",0.36,"Ideal","J","VS1",61.7,53.7,513,4.58,4.62,2.84
"13319",1.01,"Very Good","E","SI1",62.8,57,5499,6.37,6.41,4.01
"53367",0.77,"Premium","G","SI1",61.6,59,2657,5.9,5.85,3.62
"175",0.7,"Ideal","E","SI1",62.7,55,2774,5.68,5.74,3.58
"7893",1,"Good","E","SI2",63.3,55,4312,6.25,6.29,3.97
"33218",0.34,"Premium","G","VS1",62.2,55,821,4.52,4.48,2.8
"23926",1.74,"Premium","D","SI2",61.9,58,12052,7.73,7.67,4.77
"32382",0.39,"Premium","J","VS1",61.6,59,790,4.71,4.67,2.89
"14400",0.3,"Premium","F","VS2",62.2,60,605,4.22,4.27,2.64
"10330",1.13,"Very Good","I","SI1",61.5,60,4766,6.68,6.72,4.12
"42400",0.51,"Good","F","SI1",63.6,58,1308,5.05,5.08,3.22
"29012",0.34,"Ideal","H","VVS2",61.8,54,686,4.47,4.49,2.77
"19348",1.56,"Good","I","SI2",58.5,61,8048,7.58,7.63,4.45
"23348",0.3,"Ideal","G","SI2",62,55,422,4.28,4.33,2.67
"48167",0.62,"Premium","F","VS1",60.1,58,1942,5.56,5.48,3.32
"24871",1.71,"Good","E","SI1",64,53,13287,7.68,7.54,4.87
"21658",1.22,"Premium","D","VS2",62,60,9756,6.79,6.74,4.22
"7129",0.9,"Good","E","SI1",60.7,63,4173,6.07,6.13,3.7
"48707",0.56,"Ideal","E","VS1",61.1,56,2010,5.29,5.34,3.25
"36418",0.31,"Ideal","D","VS2",61.5,56,942,4.36,4.35,2.68
"25299",2.08,"Good","I","SI2",63.8,58,13956,8.02,8.1,5.14
"42580",0.51,"Ideal","G","SI1",61.3,55,1329,5.18,5.22,3.19
"31363",0.42,"Very Good","H","SI1",58.6,61,761,4.92,4.95,2.89
"11128",0.9,"Very Good","H","VS1",63,55,4939,6.18,6.13,3.88
"27027",2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
"36134",0.33,"Ideal","E","VS2",62,56,928,4.48,4.46,2.77
"11663",1.02,"Premium","D","SI2",62.8,55,5055,6.46,6.38,4.03
"1080",0.31,"Premium","E","SI2",60.9,60,558,4.38,4.35,2.66
"11839",1.2,"Premium","I","SI1",61.4,57,5098,6.87,6.8,4.2
"17366",1.01,"Good","E","VS2",63.9,59,6968,6.34,6.31,4.04
"9525",0.9,"Very Good","F","VS2",62.2,57,4617,6.17,6.24,3.86
"30665",0.4,"Very Good","E","SI1",62,55,737,4.68,4.74,2.92
"41667",0.31,"Ideal","E","IF",60.4,56,1239,4.43,4.38,2.66
"50583",1,"Fair","F","I1",68,57,2280,6.14,6.05,4.15
"9333",0.9,"Good","E","VS2",63.1,58,4580,6.11,6.15,3.87
"19011",1.12,"Premium","G","VS1",62.2,59,7827,6.61,6.58,4.1
"47623",0.55,"Premium","E","VS2",61.5,56,1881,5.28,5.25,3.24
"12507",0.91,"Premium","D","VS2",62,58,5259,6.15,6.2,3.83
"23558",1.51,"Premium","E","SI1",61.5,61,11565,7.41,7.31,4.53
"8765",1.01,"Good","D","VS2",64.1,57,4466,6.32,6.22,4.02
"39453",0.5,"Very Good","E","SI2",63,57,1077,5.04,5.09,3.19
"14016",1.01,"Very Good","G","VS2",63.2,55,5701,6.39,6.34,4.02
"53455",0.7,"Ideal","F","VS2",62.2,55,2676,5.66,5.72,3.54
"40828",0.5,"Very Good","G","SI1",60.8,63,1171,5.08,5.11,3.1
"29532",0.37,"Ideal","F","VS1",61,55,703,4.66,4.69,2.85
"19254",1.5,"Premium","J","VVS2",62.8,62,7983,7.25,7.22,4.54
"52274",0.72,"Premium","F","SI1",61.7,59,2492,5.74,5.7,3.53
"47210",0.5,"Ideal","G","VVS2",62,56,1838,5.09,5.13,3.17
"47655",0.31,"Ideal","H","SI1",61,56,530,4.38,4.41,2.68
"26083",2.24,"Ideal","J","VS2",61.8,54,15316,8.41,8.36,5.18
"11509",1.01,"Ideal","H","SI1",60.4,58,5020,6.5,6.54,3.94
"3219",0.71,"Premium","H","IF",62.9,60,3349,5.74,5.67,3.59
"31738",0.41,"Good","E","VS2",58.1,59,772,4.89,4.95,2.86
"17265",1.19,"Ideal","E","SI1",61.3,57,6911,6.81,6.83,4.18
"50536",0.5,"Very Good","E","VVS2",62.4,55,2275,5.08,5.11,3.18
"12896",1.2,"Very Good","D","SI2",63.1,57,5373,6.68,6.75,4.24
"27708",0.36,"Good","E","SI2",63.7,54,648,4.55,4.52,2.89
"45868",0.51,"Ideal","D","VS2",62.9,56,1716,5.1,5.07,3.2
"36500",0.37,"Premium","G","VS2",59.7,61,944,4.72,4.66,2.8
"52914",0.73,"Ideal","F","SI2",61.9,55,2588,5.78,5.82,3.59
"40724",0.41,"Very Good","F","VVS1",62.3,54,1161,4.75,4.79,2.97
"23822",2.08,"Ideal","I","SI2",62,56,11886,8.21,8.1,5.06
"4174",0.75,"Ideal","E","VS1",62.5,57,3555,5.8,5.85,3.64
"15180",1.01,"Good","F","VS2",63.6,59,6097,6.36,6.32,4.03
"5234",0.9,"Very Good","G","SI2",63.2,58,3787,6.05,6.1,3.84
"32032",0.3,"Ideal","E","VS1",62.5,56,778,4.3,4.28,2.68
"16647",1.22,"Ideal","H","SI1",61.8,57,6654,6.83,6.85,4.23
"32903",0.44,"Premium","H","VS2",61.3,58,810,4.88,4.91,3
"32050",0.43,"Ideal","I","VS2",62.1,57,780,4.83,4.86,3.01
"50369",0.71,"Premium","H","VS2",62,54,2249,5.73,5.69,3.54
"31494",0.34,"Ideal","G","VS2",62,54,765,4.5,4.47,2.78
"35285",0.3,"Premium","J","VS2",61.6,61,473,4.33,4.28,2.65
"29343",0.31,"Ideal","G","VS2",59.6,57,698,4.43,4.4,2.63
"28541",0.3,"Premium","E","SI1",60.6,58,675,4.34,4.3,2.62
"52961",0.24,"Very Good","E","VVS1",63.7,57,552,3.92,3.93,2.5
"22675",1.24,"Ideal","G","VVS1",62.3,56,10724,6.86,6.89,4.28
"12893",1.01,"Very Good","E","SI1",61.5,60,5372,6.39,6.42,3.94
"1302",0.72,"Premium","D","SI1",61.4,59,2954,5.71,5.79,3.53
"19266",1.51,"Very Good","J","VS1",63.5,60,7991,7.29,7.23,4.61
"34637",0.31,"Ideal","E","VS2",61.8,54,872,4.41,4.36,2.71
"40476",0.52,"Premium","I","VS1",59.6,60,1141,5.17,5.14,3.07
"42467",0.5,"Premium","E","SI1",62.3,58,1316,5.09,5.15,3.19
"37645",0.33,"Ideal","F","VS1",59.9,56,990,4.54,4.51,2.71
"46261",0.54,"Ideal","G","VS1",62.3,55,1754,5.2,5.24,3.25
"45041",0.54,"Very Good","F","VS2",60.9,55,1639,5.25,5.31,3.21
"43123",0.6,"Premium","D","SI2",61.4,56,1385,5.43,5.41,3.33
"34100",0.36,"Premium","D","VS2",61,58,852,4.59,4.62,2.81
"45694",0.7,"Good","H","SI2",64.2,58,1697,5.56,5.6,3.58
"15215",1.47,"Fair","F","SI2",65.9,59,6108,6.99,6.94,4.59
"40914",0.42,"Ideal","G","VVS1",61.4,56,1179,4.81,4.83,2.96
"19687",0.32,"Very Good","F","VS2",61.5,59.7,624,4.32,4.39,2.68
"20932",1.7,"Ideal","H","SI1",61.2,57,9139,7.71,7.68,4.71
"1237",0.7,"Ideal","F","VS2",60.8,56,2942,5.78,5.79,3.52
"9940",0.9,"Very Good","D","SI1",62.8,59,4693,6.14,6.18,3.87
"27465",2.03,"Very Good","D","SI2",62.4,59,18120,7.98,8.04,5
"21112",1.5,"Very Good","I","VS1",60.8,63,9281,7.37,7.41,4.49
"47971",0.28,"Very Good","D","VVS2",64,56,532,4.14,4.17,2.66
"15590",1.35,"Premium","J","VS2",60.5,56,6254,7.19,7.12,4.33
"25547",1.51,"Premium","G","VS1",60.1,58,14375,7.45,7.48,4.49
"30267",0.31,"Good","E","VVS1",60.9,61,725,4.32,4.35,2.64
"23798",1.5,"Premium","H","VVS2",62.9,59,11855,7.31,7.26,4.58
"28878",0.31,"Ideal","D","SI1",61.2,57,684,4.38,4.34,2.67
"3227",0.72,"Ideal","G","VVS2",61.3,56,3352,5.76,5.8,3.54
"38103",0.36,"Ideal","E","VS2",61.9,56,1013,4.56,4.55,2.82
"7076",0.33,"Very Good","H","VS1",60,61,579,4.48,4.52,2.7
"32455",0.4,"Premium","H","VS1",61.8,59.2,793,4.72,4.74,2.92
"5734",0.9,"Good","H","VS2",64.3,60,3890,6.02,6.04,3.88
"32044",0.32,"Ideal","G","VVS1",61.7,56,779,4.39,4.42,2.72
"1476",1,"Premium","G","I1",62.5,62,2984,6.42,6.35,3.99
"33074",0.32,"Ideal","H","IF",62.1,54,814,4.41,4.45,2.75
"48230",0.57,"Ideal","E","VS2",61.6,56,1949,5.38,5.33,3.3
"36969",0.41,"Premium","G","VS1",62.6,58,961,4.75,4.7,2.96
"16175",1,"Ideal","G","VS1",62.7,54,6465,6.42,6.37,4.01
"34256",0.53,"Ideal","J","SI2",61.9,54,856,5.2,5.23,3.23
"9383",0.32,"Ideal","D","SI1",62,55,589,4.37,4.47,2.74
"26639",2.01,"Good","F","SI2",62.2,57,16410,7.91,7.97,4.94
"4081",0.91,"Very Good","G","SI2",60,57,3531,6.27,6.32,3.78
"14161",1.08,"Ideal","H","VS2",61.9,54,5745,6.61,6.64,4.1
"38105",0.36,"Premium","E","VS2",62.1,59,1013,4.59,4.55,2.84
"7233",0.92,"Premium","F","SI1",62.2,59,4194,6.21,6.14,3.84
"51852",0.7,"Very Good","F","SI1",63.2,57,2423,5.68,5.62,3.57
"6165",1,"Good","H","SI2",59,61,3991,6.42,6.46,3.8
"43997",0.3,"Ideal","I","SI1",62.3,56,394,4.32,4.35,2.7
"49931",0.7,"Premium","F","SI2",59.8,56,2184,5.78,5.73,3.44
"40161",0.62,"Good","J","SI1",59.9,65,1116,5.58,5.5,3.32
"2062",0.32,"Very Good","H","VS1",62.9,54,561,4.37,4.41,2.76
"8425",0.93,"Good","G","SI1",58.8,61,4405,6.36,6.39,3.75
"36668",0.3,"Ideal","D","VS1",61.8,57,949,4.27,4.3,2.65
"22843",1.14,"Premium","F","VVS1",60.8,58,10878,6.79,6.74,4.11
"26491",2.01,"Fair","D","SI2",66.9,57,16086,7.87,7.76,5.23
"23343",0.3,"Very Good","H","SI2",63.4,55,422,4.26,4.22,2.69
"33957",0.23,"Very Good","E","VVS2",61.1,58,465,3.95,4.01,2.43
"52199",0.7,"Premium","G","VS2",61.8,60,2479,5.67,5.63,3.49
"3361",0.3,"Very Good","I","SI1",61.2,58,405,4.28,4.31,2.63
"38638",0.31,"Very Good","H","VS2",60.5,63,489,4.33,4.37,2.63
"9316",1.11,"Ideal","H","SI2",62,54,4578,6.61,6.64,4.11
"5144",1,"Very Good","E","SI2",63.5,56,3763,6.37,6.3,4.02
"53371",0.67,"Premium","G","VVS2",60.1,60,2658,5.66,5.58,3.38
"8895",1.08,"Premium","F","SI2",60.2,59,4488,6.65,6.6,3.99
"30994",0.37,"Premium","F","VS2",61.2,58,746,4.63,4.69,2.85
"6801",0.98,"Ideal","G","SI2",62.9,57,4116,6.33,6.29,3.97
"21862",1.59,"Very Good","I","SI1",62.4,56,9925,7.46,7.48,4.66
"5027",0.9,"Very Good","E","SI1",62.5,60,3748,6.09,6.13,3.82
"26916",2.53,"Premium","J","SI2",62.6,57,16934,8.77,8.67,5.46
"39298",0.3,"Ideal","H","VS2",62.3,56,491,4.27,4.3,2.67
"42665",0.62,"Good","E","SI2",59.4,65,1333,5.54,5.48,3.27
"29643",0.35,"Premium","F","VS2",62.1,60,706,4.45,4.51,2.78
"50400",0.73,"Ideal","F","SI2",60.5,59,2255,5.83,5.88,3.54
"21566",1.77,"Premium","G","SI2",62.7,59,9664,7.67,7.66,4.8
"41812",0.54,"Ideal","E","SI2",62.1,56,1250,5.22,5.18,3.23
"36776",0.3,"Ideal","G","IF",62,56,956,4.31,4.3,2.67
"48371",0.51,"Ideal","G","VVS1",61.4,56,1963,5.14,5.15,3.16
"24690",1.05,"Ideal","F","IF",61.7,56,13060,6.48,6.56,4.02
"46798",0.7,"Very Good","D","SI2",63.1,58,1806,5.63,5.57,3.53
